Time,REF_temp,RTD2,RTD3,RTD4,RTD5,RTD6,RTD7,RTD8
36383.038761377335,69.941,71.9159,71.8868,72.0186,71.9374,71.9061,71.959,71.9698
36387.98581528664,69.942,71.9172,71.8856,72.0183,71.9374,71.9044,71.9569,71.9703
36392.95496201515,69.943,71.9153,71.8836,72.0154,71.933,71.9036,71.9555,71.9671
36397.91901397705,69.943,71.91,71.8799,72.013,71.9306,71.9015,71.9512,71.9639
36402.863164424896,69.943,71.9079,71.8763,72.0079,71.9274,71.896,71.9475,71.9602
36407.80722236633,69.942,71.9052,71.8734,72.0045,71.926,71.8946,71.9454,71.9586
36412.78237509728,69.94,71.9057,71.8713,72.0034,71.9242,71.893,71.9427,71.9578
36417.73143029213,69.938,71.9017,71.8699,72.0028,71.9222,71.8909,71.9417,71.9551
36422.685583114624,69.936,71.9004,71.8671,71.9988,71.9193,71.8884,71.9401,71.9536
36427.626634120934,69.933,71.8991,71.87,72.001,71.9183,71.8898,71.9385,71.953
36432.562767028816,69.932,71.8978,71.8667,72.0001,71.9185,71.8877,71.9397,71.9525
36437.51883411408,69.93,71.8991,71.8687,71.9997,71.9188,71.8869,71.9392,71.9503
36442.45793914795,69.929,71.8975,71.8671,71.9991,71.9201,71.8869,71.9403,71.9519
36447.43503808975,69.928,71.8983,71.871,72.0029,71.9215,71.8887,71.944,71.9522
36452.40308952332,69.928,71.9026,71.8743,72.0055,71.9231,71.8916,71.9454,71.9547
36459.68125677109,69.929,71.9049,71.8726,72.0041,71.9234,71.8911,71.9437,71.9576
36464.630307912834,69.93,71.9057,71.8771,72.0089,71.9266,71.8948,71.9483,71.9589
36469.58786320686,69.932,71.9082,71.8793,72.0116,71.9298,71.8983,71.9528,71.9611
36474.568917036064,69.933,71.9122,71.883,72.0159,71.9335,71.9,71.9555,71.9656
36479.531967639916,69.934,71.9143,71.8838,72.0157,71.9346,71.9012,71.9558,71.9666
36484.50002002716,69.935,71.9129,71.8864,72.0178,71.9367,71.9042,71.9574,71.9683
36489.45907306671,69.938,71.9145,71.8857,72.0185,71.9362,71.9037,71.9579,71.9687
36494.44312500954,69.94,71.9158,71.8856,72.0178,71.9356,71.9052,71.9555,71.969
36499.408178567886,69.941,71.9153,71.8828,72.0169,71.9353,71.9048,71.9561,71.9674
36504.37723112106,69.941,71.9135,71.8816,72.0149,71.9338,71.9031,71.9533,71.9661
36509.320283412926,69.942,71.9103,71.8769,72.0117,71.9306,71.8992,71.9493,71.9642
36514.29033565521,69.94,71.9065,71.875,72.0066,71.9286,71.8951,71.9461,71.9602
36519.24938774109,69.939,71.9038,71.8726,72.0047,71.9246,71.8924,71.9438,71.9562
36524.24244070053,69.937,71.9025,71.8702,72.0045,71.9231,71.8922,71.9416,71.9546
36529.209495306015,69.935,71.901,71.8689,72.0029,71.921,71.89,71.9416,71.9538
36534.15954756737,69.933,71.899,71.867,71.9993,71.9178,71.8877,71.9379,71.9515
36539.10259914398,69.931,71.8986,71.8681,71.9997,71.9186,71.8872,71.939,71.9507
36544.091651678085,69.93,71.8964,71.8646,71.9967,71.9159,71.885,71.936,71.9506
36549.049703598015,69.928,71.8962,71.8662,71.9988,71.9194,71.8861,71.9377,71.9498
36554.000754117966,69.92699999999999,71.8974,71.8681,72.001,71.9193,71.8887,71.939,71.9509
36558.958830356605,69.92699999999999,71.9001,71.8711,72.0037,71.9225,71.8896,71.9424,71.9546
36563.91593050957,69.92699999999999,71.9025,71.8734,72.0073,71.9249,71.8916,71.9454,71.9567
36568.88603138924,69.928,71.9025,71.8764,72.0093,71.9276,71.8968,71.9486,71.9595
36573.84013319016,69.93,71.906,71.8811,72.0129,71.9298,71.8981,71.9515,71.9623
36578.7822329998,69.932,71.9092,71.882,72.0124,71.9308,71.8986,71.9509,71.9624
36583.73133349419,69.934,71.9122,71.883,72.0164,71.9335,71.9026,71.9536,71.9667
36588.702437877655,69.936,71.9146,71.8849,72.0172,71.9364,71.9032,71.9561,71.9671
36593.664538145065,69.938,71.9153,71.886,72.0194,71.9364,71.9045,71.9582,71.968
36598.6636402607,69.94,71.9161,71.8868,72.0186,71.9378,71.906,71.9574,71.9696
36603.62274098396,69.941,71.9161,71.8864,72.0181,71.9386,71.9048,71.9598,71.9699
36608.593842983246,69.942,71.9132,71.8867,72.0178,71.9361,71.9056,71.9577,71.9696
36613.55194425583,69.942,71.9138,71.8835,72.0159,71.9353,71.9031,71.9555,71.9672
36618.525048732765,69.943,71.9126,71.8816,72.0133,71.9329,71.9013,71.9521,71.9651
36623.50714969635,69.942,71.9092,71.8766,72.0081,71.9303,71.896,71.9473,71.9613
36628.47325062752,69.941,71.9066,71.874,72.0045,71.925,71.8952,71.9459,71.9594
