RTD temps,REF_temp,Time
"[31.3025, 31.2606, 31.3898, 31.3054, 31.2697, 31.29, 31.3321]",30.465,742.4908444881439
"[31.3063, 31.264, 31.3931, 31.3094, 31.2751, 31.2943, 31.3362]",30.467,747.4530260562897
"[31.3099, 31.2683, 31.396, 31.3125, 31.2756, 31.2973, 31.3382]",30.468,752.4271297454834
"[31.3117, 31.2683, 31.3976, 31.3135, 31.2775, 31.2989, 31.3415]",30.469,757.3822350502014
"[31.3156, 31.2718, 31.4009, 31.3165, 31.2817, 31.3026, 31.3434]",30.476,762.3493404388428
"[31.3175, 31.2727, 31.4032, 31.3185, 31.2839, 31.3047, 31.3448]",30.478,767.29745054245
"[31.3202, 31.2762, 31.4048, 31.3212, 31.2862, 31.3077, 31.3486]",30.479,772.27605509758
"[31.3224, 31.2787, 31.4088, 31.3242, 31.2888, 31.3102, 31.3505]",30.48,777.238156080246
"[31.3226, 31.2814, 31.4113, 31.3266, 31.2918, 31.312, 31.3527]",30.487,782.195258140564
"[31.3259, 31.2843, 31.4129, 31.329, 31.2937, 31.3147, 31.3551]",30.488,787.1773602962494
"[31.3295, 31.2857, 31.4159, 31.3315, 31.296, 31.3175, 31.3584]",30.489,792.1464612483978
"[31.3314, 31.289, 31.4182, 31.3345, 31.2961, 31.3188, 31.3595]",30.491,797.094563961029
"[31.3344, 31.2906, 31.4203, 31.3369, 31.3009, 31.3226, 31.3627]",30.493,802.0436635017395
"[31.3362, 31.2933, 31.423, 31.3391, 31.3037, 31.3237, 31.3643]",30.498,806.9837684631348
"[31.3385, 31.2968, 31.4249, 31.341, 31.3048, 31.3271, 31.3671]",30.5,811.9688704013824
"[31.3404, 31.2972, 31.4282, 31.3432, 31.3083, 31.3274, 31.3693]",30.503,819.2891101837158
"[31.3442, 31.3017, 31.4309, 31.347, 31.3113, 31.3341, 31.3739]",30.506,824.2522106170654
"[31.3482, 31.3058, 31.4323, 31.3492, 31.3137, 31.3333, 31.3758]",30.507,829.219313621521
"[31.3493, 31.3061, 31.4355, 31.3519, 31.3157, 31.3368, 31.3793]",30.509,834.1754195690155
"[31.3527, 31.3078, 31.438, 31.3546, 31.3187, 31.3404, 31.3809]",30.511,839.124027967453
"[31.3553, 31.3108, 31.4407, 31.3572, 31.3216, 31.3429, 31.3828]",30.513,844.0971302986145
"[31.3565, 31.314, 31.4423, 31.359, 31.322, 31.3442, 31.3854]",30.516,849.049234867096
